"Date","forecastValue","confidenceHighBound","confidenceLowBound"
2021-12-01,1253.87506783076,1405.51277965463,1102.2373560069
2022-01-01,1274.30853653987,1470.06790907631,1078.54916400342
2022-02-01,1281.03878880676,1534.91231659775,1027.16526101576
2022-03-01,1263.91399030801,1566.8619338806,960.966046735423
2022-04-01,1258.67447015883,1588.07097514329,929.277965174362
2022-05-01,1268.14524982486,1619.03992844571,917.250571204021
2022-06-01,1268.15869799878,1644.60878319385,891.708612803716
2022-07-01,1259.4938224579,1658.10859853434,860.879046381457
2022-08-01,1258.18951867652,1672.39217998107,843.986857371961
2022-09-01,1261.95165013395,1690.42274108118,833.480559186713
2022-10-01,1260.32633516695,1703.75148905226,816.901181281644
2022-11-01,1255.99545614614,1712.33697339857,799.653938893699
